Order_Date,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
3/28/15,7/5/15,7896,109.28,35.84
2/19/14,3/17/14,3121,109.28,35.84
1/4/14,5/4/14,1950,47.45,31.79
5/9/16,10/16/16,9701,152.58,97.44
1/16/16,1/31/16,3723,668.27,502.54
10/14/11,11/29/11,8394,109.28,35.84
3/1/12,1/15/12,127,154.06,90.93
4/7/14,7/8/14,2363,421.89,364.69
7/29/10,11/9/10,577,437.2,263.33
4/7/11,7/17/11,7273,651.21,524.96
2/7/14,7/28/14,6987,255.28,159.42
1/18/14,1/21/14,1287,152.58,97.44
11/4/13,5/14/13,3772,421.89,364.69
2/8/12,8/9/12,5071,152.58,97.44
12/6/13,6/16/13,7845,437.2,263.33
7/8/14,8/15/14,1786,437.2,263.33
11/11/15,12/21/15,8619,255.28,159.42
4/28/14,5/23/14,7099,9.33,6.92
9/15/15,9/19/15,8011,255.28,159.42
6/13/15,6/19/15,9172,421.89,364.69
1/18/10,10/2/10,432,109.28,35.84
12/31/15,3/2/16,8671,47.45,31.79
12/30/12,2/2/13,2798,109.28,35.84
11/20/15,11/24/15,8758,9.33,6.92
9/4/10,5/18/10,4523,205.7,117.11
11/28/16,12/21/16,5098,255.28,159.42
9/3/12,10/3/12,7520,668.27,502.54
3/14/15,3/24/15,5856,81.73,56.67
10/26/15,12/13/15,6204,205.7,117.11
5/5/16,6/23/16,1695,152.58,97.44
7/23/12,6/8/12,7489,152.58,97.44
5/9/12,8/10/12,5779,81.73,56.67
2/11/10,6/11/10,788,205.7,117.11
3/8/13,8/23/13,3772,421.89,364.69
5/29/13,6/29/13,8016,668.27,502.54
12/3/15,10/4/15,3839,668.27,502.54
3/5/17,5/22/17,3587,9.33,6.92
6/7/15,8/19/15,6643,9.33,6.92
8/1/14,1/16/14,4415,9.33,6.92
6/15/14,6/22/14,5348,255.28,159.42
11/20/11,8/1/12,9914,152.58,97.44
5/23/11,11/25/13,5619,154.06,90.93
8/9/13,12/9/13,1999,152.58,97.44
4/28/17,5/23/17,5620,668.27,502.54
6/30/16,6/30/16,5082,255.28,159.42
5/25/15,6/25/15,6014,255.28,159.42
9/14/11,11/10/11,6078,668.27,502.54
11/7/15,8/20/15,9966,205.7,117.11
4/24/15,5/28/15,4402,255.28,159.42
9/12/11,12/19/11,3140,651.21,524.96
4/12/14,7/1/15,1967,47.45,31.79
11/30/15,10/12/15,3700,154.06,90.93
11/3/15,3/15/15,3188,205.7,117.11
4/26/10,5/19/10,2310,109.28,35.84
1/27/15,2/3/15,4978,152.58,97.44
3/18/10,1/5/10,2133,668.27,502.54
5/6/15,6/27/15,6751,651.21,524.96
5/25/17,6/22/17,8835,154.06,90.93
8/6/11,12/7/11,422,81.73,56.67
7/11/12,12/25/12,579,9.33,6.92
4/24/15,7/6/15,405,437.2,263.33
4/26/17,5/29/17,8029,651.21,524.96
11/16/10,12/27/10,3613,421.89,364.69
7/22/15,8/21/15,4349,651.21,524.96
2/17/14,3/16/14,9461,109.28,35.84
11/12/16,1/26/17,5204,255.28,159.42
7/9/12,9/21/12,9863,109.28,35.84
1/14/10,5/3/10,8757,154.06,90.93
7/3/11,6/4/11,9233,437.2,263.33
7/27/15,8/19/15,5672,421.89,364.69
2/25/16,7/3/16,4485,421.89,364.69
9/25/10,7/10/10,9114,9.33,6.92
4/26/13,6/5/13,5033,109.28,35.84
6/23/12,7/17/12,4747,205.7,117.11
12/29/12,7/2/13,2791,255.28,159.42
6/12/16,3/1/17,734,154.06,90.93
5/4/12,1/5/12,2173,109.28,35.84
7/15/14,7/21/14,7739,47.45,31.79
1/29/10,5/2/10,93,651.21,524.96
11/10/12,10/14/12,8928,109.28,35.84
11/16/14,12/21/14,5966,9.33,6.92
6/17/13,7/14/13,9963,154.06,90.93
6/4/14,4/27/14,1705,205.7,117.11
9/16/12,2/11/12,9009,47.45,31.79
11/16/12,12/30/12,1724,81.73,56.67
12/2/16,3/28/16,6730,651.21,524.96
6/4/17,5/17/17,2938,437.2,263.33
6/1/16,1/21/16,6290,152.58,97.44
2/16/13,2/28/13,4760,255.28,159.42
3/20/14,5/4/14,3353,421.89,364.69
10/20/10,11/11/10,9105,47.45,31.79
5/31/14,6/17/14,6083,152.58,97.44
3/12/14,1/19/15,387,81.73,56.67
8/16/14,5/10/14,5145,109.28,35.84
11/18/16,12/13/16,5519,651.21,524.96
6/10/14,10/15/14,3701,205.7,117.11
7/17/17,7/23/17,3916,668.27,502.54
8/19/16,8/22/16,7417,154.06,90.93
1/30/12,4/2/12,7492,205.7,117.11
11/5/16,12/5/16,4457,152.58,97.44
9/17/12,4/11/12,660,651.21,524.96
12/16/11,1/21/12,5483,81.73,56.67
10/30/10,11/21/10,336,255.28,159.42
1/12/10,1/12/10,3661,154.06,90.93
12/11/14,11/12/14,5933,255.28,159.42
1/13/15,1/15/15,4655,81.73,56.67
3/6/12,5/7/12,9365,651.21,524.96
11/13/12,11/26/12,6628,109.28,35.84
9/20/15,9/27/15,5046,109.28,35.84
4/1/10,1/18/10,246,109.28,35.84
2/22/16,6/4/16,9890,421.89,364.69
9/12/13,1/27/14,8670,154.06,90.93
7/24/14,5/9/14,3311,152.58,97.44
4/26/11,5/22/11,7567,205.7,117.11
9/19/13,4/10/13,7224,81.73,56.67
5/30/13,6/13/13,5099,9.33,6.92
7/9/10,10/17/10,6042,421.89,364.69
2/9/10,10/20/10,1932,47.45,31.79
1/1/12,5/1/12,6680,152.58,97.44
7/30/10,8/17/10,1228,109.28,35.84
12/13/10,12/22/10,8551,47.45,31.79
9/12/14,1/14/15,8652,651.21,524.96
4/14/10,2/5/10,3569,421.89,364.69
4/20/12,8/5/12,2369,437.2,263.33
8/26/14,2/9/14,6150,9.33,6.92
2/11/15,12/21/15,3042,47.45,31.79
9/6/15,6/24/15,3206,668.27,502.54
4/21/10,12/5/10,3835,421.89,364.69
2/7/13,8/14/13,4152,152.58,97.44
8/26/12,9/10/12,412,421.89,364.69
6/8/11,8/8/11,901,109.28,35.84
10/6/11,7/16/11,937,205.7,117.11
5/13/14,4/6/14,7869,47.45,31.79
2/4/12,2/5/12,6075,651.21,524.96
3/14/13,4/22/13,1968,152.58,97.44
2/1/15,1/22/15,8990,437.2,263.33
7/13/16,7/17/16,2614,81.73,56.67
4/12/13,12/17/13,5345,47.45,31.79
12/19/11,1/20/12,1719,205.7,117.11
9/17/12,10/18/12,3305,255.28,159.42
9/20/11,6/11/11,3699,205.7,117.11
12/16/16,12/19/16,3533,9.33,6.92
4/10/14,11/11/14,5467,47.45,31.79
6/6/11,2/7/11,9194,668.27,502.54
5/13/14,5/20/14,6437,109.28,35.84
1/27/13,3/2/13,5952,81.73,56.67
4/16/13,3/5/13,8524,651.21,524.96
11/6/10,6/26/10,1971,651.21,524.96
7/3/16,4/20/16,6141,668.27,502.54
9/14/16,10/16/16,7914,437.2,263.33
6/6/14,1/7/14,6202,152.58,97.44
8/14/16,8/17/16,6947,81.73,56.67
6/18/16,1/7/16,8122,205.7,117.11
12/29/11,4/2/12,4733,437.2,263.33
6/17/17,8/7/17,3815,154.06,90.93
5/2/14,6/2/14,9436,9.33,6.92
1/7/14,7/26/14,7694,9.33,6.92
5/19/13,6/17/13,1720,152.58,97.44
8/2/14,2/21/14,6674,9.33,6.92
4/27/17,11/5/17,4749,109.28,35.84
2/23/17,3/31/17,169,651.21,524.96
7/30/12,8/15/12,4188,651.21,524.96
3/25/11,1/4/11,92,668.27,502.54
4/6/10,6/6/10,8200,437.2,263.33
2/19/16,2/22/16,858,668.27,502.54
6/14/16,6/19/16,7449,205.7,117.11
8/9/15,9/21/15,9382,47.45,31.79
4/6/15,6/25/15,5100,152.58,97.44
9/29/10,5/11/10,5076,651.21,524.96
9/19/16,9/25/16,6816,205.7,117.11
8/18/11,9/25/11,9856,437.2,263.33
6/17/16,7/17/16,762,255.28,159.42
5/31/15,7/13/15,8134,109.28,35.84
1/9/12,9/26/12,7602,81.73,56.67
6/27/13,6/8/13,6826,81.73,56.67
10/28/12,3/12/12,499,109.28,35.84
4/14/14,5/13/14,5345,47.45,31.79
2/3/11,3/22/11,5118,47.45,31.79
12/24/12,1/18/13,5605,421.89,364.69
5/20/11,7/7/11,9624,651.21,524.96
3/23/14,3/26/14,2021,205.7,117.11
1/7/11,8/20/11,4679,9.33,6.92
12/22/16,12/25/16,1507,205.7,117.11
2/6/11,6/23/11,3448,437.2,263.33
9/7/14,2/8/14,3475,81.73,56.67
12/14/12,3/1/13,1595,668.27,502.54
8/3/17,8/4/17,9842,421.89,364.69
3/23/12,8/4/12,7284,437.2,263.33
6/18/14,7/8/14,5020,421.89,364.69
10/30/14,11/12/14,1179,81.73,56.67
11/23/12,10/12/12,5923,205.7,117.11
4/2/13,3/17/13,6445,109.28,35.84
5/5/13,10/6/13,1967,437.2,263.33
5/28/16,6/17/16,8745,437.2,263.33
12/24/10,12/1/11,5064,47.45,31.79
4/25/13,4/25/13,6243,205.7,117.11
6/13/10,7/26/10,9629,152.58,97.44
12/25/16,7/1/17,9604,421.89,364.69
9/20/10,4/11/10,2577,154.06,90.93
5/3/12,9/3/12,1991,154.06,90.93
8/24/12,9/19/12,3320,81.73,56.67
5/11/15,6/12/15,9068,255.28,159.42
5/30/11,5/31/11,3773,651.21,524.96
7/16/16,7/27/16,9001,152.58,97.44
8/26/11,11/10/11,8350,668.27,502.54
4/13/12,12/5/12,2452,109.28,35.84
2/5/12,6/19/12,3966,81.73,56.67
7/22/10,8/19/10,2586,668.27,502.54
4/28/14,5/5/14,34,154.06,90.93
2/27/13,3/14/13,5066,205.7,117.11
10/16/12,11/26/12,8468,47.45,31.79
3/23/16,3/4/16,8058,437.2,263.33
5/20/12,10/6/12,3683,152.58,97.44
12/3/10,4/30/10,2224,205.7,117.11
1/25/12,3/3/12,2592,81.73,56.67
2/14/10,7/3/10,729,421.89,364.69
11/9/12,10/24/12,4609,154.06,90.93
3/31/10,6/5/10,9238,255.28,159.42
8/1/17,2/26/17,1650,255.28,159.42
5/4/14,4/19/14,5913,47.45,31.79
7/19/14,8/19/14,8126,205.7,117.11
10/8/12,9/15/12,1420,437.2,263.33
10/21/11,11/19/11,954,437.2,263.33
10/10/12,11/27/12,8922,81.73,56.67
3/24/17,7/5/17,9546,154.06,90.93
7/26/16,1/8/16,4083,668.27,502.54
6/11/10,12/14/10,5817,651.21,524.96
7/15/12,8/15/12,5067,109.28,35.84
6/15/12,7/24/12,4182,9.33,6.92
5/11/13,8/11/13,2539,109.28,35.84
11/6/13,7/14/13,1553,255.28,159.42
10/31/12,11/20/12,9663,81.73,56.67
1/9/14,9/24/14,7345,255.28,159.42
4/21/11,5/29/11,2102,109.28,35.84
4/23/11,5/15/11,3472,205.7,117.11
12/14/12,8/1/13,8021,651.21,524.96
7/31/15,5/8/15,4348,47.45,31.79
10/20/15,3/11/15,8083,109.28,35.84
4/21/11,3/5/11,6887,152.58,97.44
9/3/12,10/3/12,5453,651.21,524.96
6/25/14,8/8/14,504,205.7,117.11
6/28/11,10/8/11,5795,255.28,159.42
9/20/12,2/10/12,7112,81.73,56.67
5/26/17,3/6/17,7273,109.28,35.84
8/31/10,10/16/10,1126,47.45,31.79
10/17/12,11/16/12,550,668.27,502.54
6/11/14,6/12/14,9458,421.89,364.69
9/24/12,9/26/12,8792,668.27,502.54
12/28/10,1/15/11,1525,651.21,524.96
11/6/11,7/15/11,7662,437.2,263.33
12/24/16,1/15/17,9239,109.28,35.84
8/15/12,9/28/12,5324,651.21,524.96
1/10/14,10/20/14,7015,255.28,159.42
4/17/14,4/30/14,2442,421.89,364.69
10/31/10,12/18/10,1766,81.73,56.67
12/5/16,6/19/16,2180,437.2,263.33
8/28/13,5/9/13,2907,109.28,35.84
1/23/13,2/16/13,202,255.28,159.42
1/11/10,11/15/10,2352,9.33,6.92
8/31/15,10/13/15,4673,437.2,263.33
7/31/14,11/9/14,4515,47.45,31.79
12/8/14,7/9/14,6257,152.58,97.44
4/14/16,5/13/16,6310,255.28,159.42
5/24/17,11/6/17,8117,668.27,502.54
10/22/16,11/18/16,7151,109.28,35.84
8/31/10,9/26/10,5917,9.33,6.92
4/29/11,6/18/11,8952,255.28,159.42
9/4/13,4/29/13,7822,152.58,97.44
1/20/12,12/2/12,6127,651.21,524.96
8/27/15,9/28/15,4496,421.89,364.69
5/22/10,6/26/10,5590,651.21,524.96
2/25/10,3/3/10,9102,47.45,31.79
4/10/14,10/11/14,6755,437.2,263.33
9/20/13,9/21/13,7305,668.27,502.54
7/10/12,11/18/12,1537,81.73,56.67
11/27/14,3/1/15,7269,205.7,117.11
8/19/16,9/15/16,4350,9.33,6.92
9/24/11,6/11/11,9658,437.2,263.33
6/3/10,4/4/10,2106,81.73,56.67
4/9/11,9/20/11,7636,668.27,502.54
12/22/16,12/22/16,4222,152.58,97.44
7/18/16,7/31/16,6867,205.7,117.11
1/21/17,1/24/17,2609,152.58,97.44
11/22/14,11/26/14,5515,109.28,35.84
1/26/15,10/2/15,1684,437.2,263.33
4/23/12,5/14/12,4245,668.27,502.54
7/19/17,11/8/17,8359,154.06,90.93
12/4/16,4/21/16,6219,81.73,56.67
3/17/10,4/16/10,2049,651.21,524.96
6/17/13,11/7/13,7103,205.7,117.11
10/12/10,1/26/11,4668,651.21,524.96
2/15/15,3/25/15,5060,651.21,524.96
10/28/16,10/29/16,630,47.45,31.79
9/18/11,10/18/11,755,668.27,502.54
3/9/11,4/10/11,6848,154.06,90.93
9/19/10,6/11/10,7351,421.89,364.69
6/29/11,6/8/11,2738,109.28,35.84
7/12/13,1/23/14,513,81.73,56.67
6/17/11,7/21/11,213,437.2,263.33
6/28/17,8/15/17,8404,205.7,117.11
3/21/16,7/5/16,3687,9.33,6.92
2/11/11,4/12/11,1689,255.28,159.42
1/3/17,3/15/17,74,154.06,90.93
9/1/12,2/23/12,3532,9.33,6.92
2/25/15,3/4/15,8788,421.89,364.69
4/13/12,5/26/12,9597,437.2,263.33
6/12/12,3/1/13,1744,152.58,97.44
4/26/16,12/6/16,8047,9.33,6.92
2/24/15,11/3/15,3355,47.45,31.79
7/27/14,3/9/14,9547,651.21,524.96
3/13/13,4/17/13,535,205.7,117.11
9/7/14,7/21/14,7262,651.21,524.96
4/7/15,8/13/15,2700,421.89,364.69
5/28/10,6/22/10,6854,109.28,35.84
2/4/17,5/14/17,1761,437.2,263.33
6/29/13,8/17/13,6488,152.58,97.44
5/7/15,7/23/15,2135,668.27,502.54
3/26/14,7/4/14,6829,81.73,56.67
10/23/16,10/29/16,734,154.06,90.93
12/7/12,7/25/12,1040,109.28,35.84
12/6/14,6/20/14,6972,651.21,524.96
11/3/10,3/17/10,4785,255.28,159.42
2/3/11,8/4/11,2765,152.58,97.44
11/30/10,12/14/10,6229,421.89,364.69
12/8/11,8/30/11,2525,437.2,263.33
9/19/12,5/10/12,6035,154.06,90.93
2/10/14,12/11/14,3168,47.45,31.79
7/7/15,7/16/15,7367,437.2,263.33
11/13/13,11/18/13,4106,205.7,117.11
7/13/13,1/9/13,5890,668.27,502.54
9/18/11,10/14/11,7255,668.27,502.54
6/22/10,6/28/10,9768,205.7,117.11
6/12/12,3/1/13,7028,154.06,90.93
4/12/11,12/17/11,9664,154.06,90.93
6/27/16,6/27/16,339,421.89,364.69
3/23/10,6/4/10,8743,154.06,90.93
8/31/15,10/14/15,6602,437.2,263.33
2/10/14,10/18/14,2669,421.89,364.69
3/20/13,11/4/13,7731,651.21,524.96
1/22/14,2/3/14,9606,437.2,263.33
10/14/13,10/24/13,8141,152.58,97.44
9/27/13,12/10/13,218,651.21,524.96
2/5/16,6/19/16,4746,152.58,97.44
12/9/13,10/22/13,7668,47.45,31.79
2/26/14,3/4/14,6959,421.89,364.69
9/29/15,10/18/15,7622,9.33,6.92
7/25/17,8/31/17,6694,152.58,97.44
12/31/15,1/23/16,8243,109.28,35.84
1/24/16,2/21/16,8366,651.21,524.96
6/26/12,7/31/12,195,154.06,90.93
11/3/16,4/26/16,8889,668.27,502.54
6/9/12,10/25/12,6642,152.58,97.44
3/26/11,9/5/11,7677,109.28,35.84
10/28/10,11/18/10,3249,109.28,35.84
5/7/11,8/8/11,6643,81.73,56.67
11/8/10,2/9/10,8178,154.06,90.93
3/2/14,3/17/14,203,109.28,35.84
1/20/10,2/24/10,2096,109.28,35.84
5/18/10,5/25/10,5269,109.28,35.84
8/23/16,8/26/16,8165,668.27,502.54
12/5/16,11/6/16,1256,109.28,35.84
1/13/17,2/16/17,2049,81.73,56.67
1/2/12,2/26/12,79,421.89,364.69
6/12/14,1/24/15,1913,152.58,97.44
2/5/17,5/18/17,6150,109.28,35.84
1/12/15,12/28/15,8421,421.89,364.69
5/12/15,1/18/16,6385,47.45,31.79
4/30/12,5/16/12,4736,9.33,6.92
4/18/16,4/25/16,197,437.2,263.33
7/21/13,11/8/13,6523,81.73,56.67
